  Bkg     Am     Cs     Co 
    0      0      0      0
    0      0      0      0
    0      0      0      0
28962  39524  29759  26560
10813  18165  13797  11951
 7426  11487  10117   8772
 5980   8588   8562   7305
 4882   6505   7467   6182
 4176   5156   6526   5494
 3565   4170   5795   4825
 3163   3546   5165   4225
 2869   3007   4672   3719
 2536   2601   4426   3584
 2232   2336   4184   3245
 1983   2071   3864   2868
 1849   1787   3713   2730
 1683   1644   3506   2581
 1564   1691   3372   2463
 1439   1477   3192   2206
 1355   1424   3084   2215
 1187   1215   3002   2089
 1163   1157   2798   1947
 1109   1123   2604   1846
 1099   1073   2557   1831
 1029    982   2481   1740
  980    931   2317   1700
  863    895   2236   1518
  838    904   1981   1501
  806    822   1870   1448
  786    787   1818   1464
  730    764   1687   1420
  741    718   1697   1373
  730    696   1510   1328
  635    679   1408   1288
  644    628   1344   1384
  644    596   1256   1305
  610    568   1152   1325
  583    647   1100   1237
  553    600   1042   1274
  557    528    990   1254
  542    549    933   1253
  497    533    888   1278
  468    520    836   1222
  452    444    782   1191
  470    434    742   1191
  443    473    684   1162
  452    453    632   1141
  408    494    597   1093
  429    433    641   1148
  417    406    601   1105
  397    411    582   1035
  366    404    570   1106
  408    376    488   1025
  359    410    494   1003
  367    350    484    955
  401    397    455    948
  389    359    468    936
  326    337    421    913
  330    320    416    909
  318    282    382    848
  325    299    358    824
  296    348    360    820
  326    275    353    771
  277    284    311    729
  254    290    301    741
  257    249    318    693
  274    249    322    654
  263    270    301    629
  216    215    295    586
  229    248    267    568
  228    260    253    562
  238    237    244    516
  225    239    247    514
  219    221    214    454
  215    183    250    435
  183    216    199    424
  192    190    198    484
  196    179    196    402
  173    160    224    387
  181    150    183    410
  153    165    197    377
  135    145    183    361
  159    156    181    320
  189    144    165    295
  152    130    150    352
  127    147    161    280
  124    148    142    300
  124    132    132    271
  124    127    163    276
  140    127    117    248
  140    101    123    261
  111    119    133    248
  118     98    146    208
  115    130    117    218
   99    109    109    218
  111    123    101    204
  112     87    121    203
  116     94    105    206
   96     85    114    202
  108     82     84    206
   94     87    113    197
   97    105    110    159
   76     83     93    152
   72     85     84    164
  100     80     97    144
   93     78     88    158
   83     87     80    146
   86     78     86    132
   82     78     66    117
   64     63     77    125
   71     66     75    122
   64     63     93    137
   85     55     79     84
   65     63     70    117
   66     57     71    105
   60     59     69    100
   76     56     74     97
   51     60     55     97
   71     73     67    105
   53     49     53     98
   49     43     62     92
   59     43     63     82
   62     43     62     66
   52     49     47     67
   52     52     55     69
   41     46     48     76
   42     53     47     84
   42     46     44     66
   33     41     47     67
   42     43     52     75
   38     45     33     53
   49     47     47     55
   32     32     38     58
   46     51     44     56
   25     41     38     57
   32     52     47     48
   36     33     32     43
   35     32     41     45
   36     27     22     48
   30     26     31     49
   27     31     36     48
   32     28     26     36
   23     28     25     37
   26     29     26     45
   32     38     23     36
   30     26     25     41
   21     27     17     35
   30     34     24     41
   25     21     23     46
   20     22     26     37
   24     16     30     51
   16     17     28     24
   16     21     25     27
   22     22     20     34
   31     18     21     35
   18     31     19     28
   15     21     20     39
   34     27     15     34
   18     19     15     32
   25     20     22     32
   26     15     22     28
    9     27     22     33
   19     19     20     32
   22     13     11     25
   12     14     14     27
   13     14     25     30
   17     11     15     21
   12     13     22     27
   16     12     13     21
   22     13     23     26
   18     16     13     14
   16     17     10     22
   19      8     14     21
   22     14     21     11
   10     10     22     18
   13     10     16     18
   17     18     18     24
   17     11     20     19
   19      8     11     24
   10     16     18     20
   12     17     12     16
   16      7     15     24
   13     13     15     16
    9      4     15     10
   11     12      9     16
   10     13      7     13
   12      8     13     13
    5     13     14     21
   12     13     12     13
   12     14     15     19
    3     10     15     19
    6      9     11     11
    8     14     12     11
   13     10      8     11
   10     15      4     15
   15     12      6     16
    4     10     11     15
    5     14     11      9
    8      8      7     10
   13      6      5     17
    6     11     10     12
   10     14     13     10
    6     10     12     16
    7     11      9      8
   11      7     12      7
   11      9      7     13
    2      6      5     11
    9      9     14     14
    9      7      9      9
    8      3      3     14
   11      8     10     13
    7      4      3      6
    8      5      6     16
    4      6      9      6
    7      8      6     11
    8      5      5      6
    6      9      7     12
    8      4      7      8
    6      6      5     10
    5      4      3      6
    6      6      8      7
    4      9     10      8
    5      4      8      6
    5      5      6      6
    8      4      5      9
    5      3     10      5
    2      5      7     10
    4     12      6      4
   10      5      4      7
    5      4      4      7
    6      1      5      4
    6      4      4      8
    5      7      4      4
    1      5      5      6
    5      6      7      5
    2      4      5      6
    2      2      3      5
    3      6      4     10
    4      2      9      2
    1      3      7      3
    9      9     10      1
    4      5      5      2
    3      2      4      9
   10      2      3      3
    4      1      9     10
    2      4      3      9
    0      5      1      5
    2      2      3      2
    2      3      4      4
    2      3      5      2
    1      6      4      5
    5      6      3      6
    0      5      2      2
    5      3      2      6
    2      4      4      2
    1      4      3      3
