      Bkg      Am      Cs     Co 
   121966  150662  182159  175223
   121966  150662  182159  175223
   121966  150662  182159  175223
   121966  150662  182159  175223
    93004  111138  152400  148663
    82191   92973  138603  136712
    74765   81486  128486  127940
    68785   72898  119924  120635
    63903   66393  112457  114453
    59727   61237  105931  108959
    56162   57067  100136  104134
    52999   53521   94971   99909
    50130   50514   90299   96190
    47594   47913   85873   92606
    45362   45577   81689   89361
    43379   43506   77825   86493
    41530   41719   74112   83763
    39847   40075   70606   81182
    38283   38384   67234   78719
    36844   36907   64042   76513
    35489   35483   60958   74298
    34302   34268   57956   72209
    33139   33111   55158   70262
    32030   31988   52554   68416
    30931   30915   49997   66585
    29902   29933   47516   64845
    28922   29002   45199   63145
    28059   28107   42963   61627
    27221   27203   40982   60126
    26415   26381   39112   58678
    25629   25594   37294   57214
    24899   24830   35607   55794
    24158   24112   33910   54421
    23428   23416   32400   53093
    22793   22737   30992   51805
    22149   22109   29648   50421
    21505   21513   28392   49116
    20895   20945   27240   47791
    20312   20298   26140   46554
    19759   19698   25098   45280
    19202   19170   24108   44026
    18660   18621   23175   42773
    18163   18088   22287   41495
    17695   17568   21451   40273
    17243   17124   20669   39082
    16773   16690   19927   37891
    16330   16217   19243   36729
    15878   15764   18611   35588
    15470   15270   18014   34495
    15041   14837   17373   33347
    14624   14431   16772   32242
    14227   14020   16190   31207
    13861   13616   15620   30101
    13453   13240   15132   29076
    13094   12830   14638   28073
    12727   12480   14154   27118
    12326   12083   13699   26170
    11937   11724   13231   25234
    11611   11387   12810   24321
    11281   11067   12394   23412
    10963   10785   12012   22564
    10638   10486   11654   21740
    10342   10138   11294   20920
    10016    9863   10941   20149
     9739    9579   10630   19420
     9485    9289   10329   18679
     9228    9040   10011   17986
     8954    8791    9689   17332
     8691    8521    9388   16703
     8475    8306    9093   16117
     8246    8058    8826   15549
     8018    7798    8573   14987
     7780    7561    8329   14471
     7555    7322    8082   13957
     7336    7101    7868   13503
     7121    6918    7618   13068
     6938    6702    7419   12644
     6746    6512    7221   12160
     6550    6333    7025   11758
     6377    6173    6801   11371
     6196    6023    6618   10961
     6043    5858    6421   10584
     5908    5713    6238   10223
     5749    5557    6057    9903
     5560    5413    5892    9608
     5408    5283    5742    9256
     5281    5136    5581    8976
     5157    4988    5439    8676
     5033    4856    5307    8405
     4909    4729    5144    8129
     4769    4602    5027    7881
     4629    4501    4904    7620
