    Bkg     Am     Cs     Co
    0   0.2353  0.4935  0.4367
    0   0.2353  0.4935  0.4367
    0   0.2353  0.4935  0.4367
    0   0.2353  0.4935  0.4367
    0   0.195   0.6386  0.5985
    0   0.1312  0.6864  0.6633
    0   0.0899  0.7185  0.7112
    0   0.0598  0.7435  0.7538
    0   0.039   0.7598  0.791
    0   0.0253  0.7736  0.8243
    0   0.0161  0.783   0.8542
    0   0.0098  0.7919  0.8851
    0   0.0077  0.8013  0.9188
    0   0.0067  0.8043  0.9457
    0   0.0047  0.8008  0.97
    0   0.0029  0.7941  0.9939
    0   0.0046  0.7845  1.0169
    0   0.0057  0.7719  1.0373
    0   0.0026  0.7562  1.0562
    0   0.0017  0.7382  1.0767
    0  -0.0002  0.7177  1.0936
    0  -0.001   0.6896  1.1051
    0  -0.0008  0.6644  1.1202
    0  -0.0013  0.6408  1.136
    0  -0.0005  0.6164  1.1527
    0   0.001   0.5891  1.1686
    0   0.0028  0.5628  1.1833
    0   0.0017  0.5312  1.1963
    0  -0.0007  0.5055  1.2088
    0  -0.0013  0.4807  1.2214
    0  -0.0014  0.4551  1.2324
    0  -0.0028  0.4301  1.2408
    0  -0.0019  0.4037  1.2527
    0  -0.0005  0.383   1.2662
    0  -0.0025  0.3597  1.2728
    0  -0.0018  0.3386  1.2764
    0   0.0004  0.3203  1.2839
    0   0.0024  0.3037  1.2872
    0  -0.0007  0.2869  1.2919
    0  -0.0031  0.2702  1.2916
    0  -0.0017  0.2555  1.2928
    0  -0.0021  0.242   1.2922
    0  -0.0041  0.2271  1.2846
    0  -0.0072  0.2123  1.276
    0  -0.0069  0.1987  1.2665
    0  -0.0049  0.188   1.259
    0  -0.0069  0.1784  1.2492
    0  -0.0072  0.1721  1.2413
    0  -0.0129  0.1644  1.2298
    0  -0.0136  0.155   1.2171
    0  -0.0132  0.1469  1.2047
    0  -0.0145  0.138   1.1935
    0  -0.0177  0.1269  1.1716
    0  -0.0158  0.1248  1.1613
    0  -0.0202  0.1179  1.144
    0  -0.0194  0.1121  1.1307
    0  -0.0197  0.1114  1.1232
    0  -0.0178  0.1084  1.1139
    0  -0.0193  0.1033  1.0947
    0  -0.019   0.0987  1.0753
    0  -0.0162  0.0957  1.0582
    0  -0.0143  0.0955  1.0436
    0  -0.0197  0.0921  1.0228
    0  -0.0153  0.0924  1.0117
    0  -0.0164  0.0915  0.994
    0  -0.0207  0.089   0.9693
    0  -0.0204  0.0849  0.9491
    0  -0.0182  0.0821  0.9357
    0  -0.0196  0.0802  0.9219
    0  -0.0199  0.0729  0.9017
    0  -0.0228  0.0703  0.8856
    0  -0.0274  0.0692  0.8692
    0  -0.0281  0.0706  0.86
    0  -0.0308  0.0698  0.8474
    0  -0.032   0.0725  0.8406
    0  -0.0285  0.0698  0.8351
    0  -0.034   0.0693  0.8224
    0  -0.0347  0.0704  0.8025
    0  -0.0331  0.0725  0.7951
    0  -0.032   0.0665  0.7831
    0  -0.0279  0.0681  0.769
    0  -0.0306  0.0626  0.7514
    0  -0.033   0.0559  0.7304
    0  -0.0334  0.0536  0.7226
    0  -0.0264  0.0597  0.7281
    0  -0.0231  0.0618  0.7115
    0  -0.0275  0.0568  0.6997
    0  -0.0328  0.0547  0.6824
    0  -0.0352  0.0544  0.67
    0  -0.0367  0.0479  0.6559
    0  -0.035   0.0541  0.6525
    0  -0.0277  0.0594  0.6461
    0  -0.0301  0.056   0.6317
    0  -0.0264  0.0511  0.6282
    0  -0.0306  0.052   0.621
    0  -0.0337  0.0509  0.6073
    0  -0.0375  0.0547  0.601
    0  -0.0323  0.054   0.595
    0  -0.0276  0.0585  0.5896
    0  -0.0253  0.0552  0.5764
    0  -0.0189  0.0634  0.5666
    0  -0.0175  0.0597  0.5526
    0  -0.0203  0.0576  0.5501
    0  -0.0228  0.0539  0.54
    0  -0.0272  0.0515  0.5239
    0  -0.0218  0.054   0.5265
    0  -0.0177  0.0572  0.5214
    0  -0.0195  0.0598  0.5149
    0  -0.0173  0.0615  0.5143
    0  -0.0164  0.0689  0.5168
    0  -0.0165  0.0658  0.5068
    0  -0.015   0.0661  0.5013
    0  -0.015   0.0567  0.4859
    0  -0.0039  0.0609  0.5023
    0  -0.0032  0.0605  0.4946
    0   0.0004  0.0601  0.492
    0   0.0008  0.0579  0.4876
    0   0.0095  0.0606  0.4946
    0   0.0058  0.0602  0.4854
    0   0.005   0.064   0.4856
    0   0.007   0.0656  0.4766
    0   0.0101  0.0609  0.4671
    0   0.0183  0.0607  0.4694
    0   0.0285  0.0626  0.4822
    0   0.0309  0.0669  0.4874
    0   0.0317  0.0672  0.4919
    0   0.0297  0.0649  0.4838
    0   0.0242  0.0636  0.4716
    0   0.0225  0.064   0.4692
    0   0.0182  0.057   0.4583
    0   0.0181  0.0524  0.45
    0   0.0142  0.0567  0.4513
    0   0.0159  0.0598  0.4615
    0   0.0162  0.0571  0.4543
    0   0.0134  0.0602  0.4615
    0   0.0027  0.0524  0.4476
    0  -0.0111  0.0431  0.4465
    0  -0.0093  0.0471  0.4529
    0  -0.0073  0.0439  0.4572
    0  -0.0008  0.0556  0.4606
    0   0.0023  0.0561  0.4566
    0  -0.0008  0.0502  0.4498
    0   0.0024  0.0564  0.4581
    0  -0.0016  0.0558  0.4553
    0  -0.0042  0.057   0.4493
    0  -0.0095  0.0663  0.4582
    0  -0.0062  0.0725  0.4607
    0  -0.0117  0.0775  0.4568
    0  -0.0157  0.0852  0.4593
    0  -0.0123  0.0891  0.4502
    0  -0.0145  0.085   0.4425
    0  -0.0069  0.0811  0.4263
    0  -0.008   0.0704  0.4251
    0  -0.0133  0.0623  0.4208
    0  -0.0136  0.0658  0.418
    0   0       0.0788  0.4276
    0  -0.0143  0.0793  0.4251
    0  -0.0213  0.075   0.4054
    0  -0.014   0.1001  0.4214
    0  -0.0155  0.1058  0.4138
    0  -0.0098  0.1127  0.4179
    0   0.0038  0.1215  0.4291
