Bkg   Cs137     K40       CsK
   0      0      0      0
   0      0      0      0
   0      0      0      0
 779.3  814.1  826.4  860.5
 314.9  335.6  343    357.1
 253.1  267.8  268.3  289.2
 217    221.8  231.9  242.8
 179.6  200.7  194.8  211.3
 161.6  172.6  179.2  187.9
 134.3  146.2  150.7  172.4
 124.9  139.9  134.8  148
 106    121.2  120    133.5
  96.3  106.2  112.6  124.3
  91.9   98.6   93    112.3
  76.6   87.5   88.6   98
  72.2   78.3   81.6   88.3
  62.8   75.3   66     79.7
  62     65.9   63.8   69.6
  53.5   64     62.2   67.2
  48.7   55.3   55.9   66.2
  45.4   54.8   52.5   55.9
  44.7   45.3   47.5   56.1
  40.1   43.8   46.1   49.4
  36.6   42.5   42     46.3
  35.3   39.6   41.4   43.3
  32.6   38.1   35.6   43.7
  30.3   32.3   37.3   37.9
  27.5   36     31.6   36.1
  30.2   34.4   32.9   32.9
  26.9   29.7   29.9   32.4
  24.3   31.1   27.9   33.1
  25.9   30.2   28     31.5
  23.9   27.6   29     32.7
  21.8   27.9   24     29.3
  22     23.5   23.1   28.6
  23.6   22.8   27.3   29.5
  20.2   28.3   22.5   25.4
  18.9   23.5   20.5   27.1
  20.8   24.7   20.7   26.4
  17.8   19.3   19.6   28.8
  18.8   22.7   19.1   22.1
  17.1   22     20     26.2
  18.9   23.4   18.5   23
  16.1   22.2   17     21.8
  18.1   23.5   17.3   23.1
  15.4   20.1   17.1   25.4
  17.2   17.7   15.9   21.6
  12.9   18.9   17.3   23.3
  14.1   19.3   16     19.9
  13.1   19.4   13.6   19.2
  12.6   18.5   16.3   20.8
  11.3   18.5   12.8   17.4
   9.9   15     12.5   17.3
  11.2   18.1   14.9   21.9
  11.1   15.3   13.1   19.3
  11.8   15.5   11.7   17
   9.1   17.3   14     16.4
   8.6   15.7   10.9   16.3
  10.9   13.4   12.9   14.2
   9.9   13.4   10     17.4
   8.9   13.5   10.6   15.2
   9.6   13.8   10.6   13
  10.5   12.6   11.3   13.7
   8.8   12.1   12.4   12.5
   7.8   11.8   10.8   13.2
   7     10.7   10.5   11.4
  10.6   11.2   10.8   11
   8.3   11.6    8.8   11.3
  10.1    8.8   10.2   11.9
   8.2   11.1   10.2   10.4
   7.6    9.4    9     10.1
   7.9    8      8.3   10
   8.5    9.3    8.9   10.2
   7.8    8     10.3    7.8
   8.9    8.3    9.4    8.7
   8      7      7.9    8.2
